what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519897968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519900765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519903718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366519908187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519909281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519909531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519912546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519914578
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1366519914703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519918203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519927812
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1366519931578
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1366519934125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1366519935906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519941359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519942671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366519945765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519947609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519949093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366519952390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366519962812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519964234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519965781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366519969671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519973046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519974484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1366519979796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366519981656
