what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481393984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481398875
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1366481410046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481412328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481414109
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1366481417328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481420968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481421593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481423375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481424015
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1366481435140
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1366481440921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366481443406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481443921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481446171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481447328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481450515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481457312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481457484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481457656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481459265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366481461484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366481462703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366481464875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481465875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481467078
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1366481471625
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1366481472203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481476562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481478187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366481482281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481483125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481483531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366481485437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481485843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481512890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366481518421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366481519312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366481523703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481524296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481526312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481530562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481531109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481535453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481536203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1366481538531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481541281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481542375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481542828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481543703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481545468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481547562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366481554187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366481554515
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1366481555187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1366481555687
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1366481557562
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1366481557921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366481558203
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1366481558890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366481559265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366481561531
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1366481564343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1366481564968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481565500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481566703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366481568859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366481570203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366481570656
