what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366482672875
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1366482676390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482679906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482813859
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366482813921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366482826171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482832765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482842328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482843328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482863390
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1366482875562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482882140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482882468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482905484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482905781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482911203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482911500
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1366482924687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366482929484
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366482930578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366482931625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482932765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482935437
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1366482939390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482941750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482942671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482956031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482956328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366482958953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482959531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366482962828
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366482964093
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1366482966437
