what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366728531234
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1366728534859
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1366728535000
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366728535828
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1366728536281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728538328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366728540406
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1366728541000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728541718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1366728543812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728544656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366728546875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728546984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1366728548265
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366728550750
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1366728551312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366728553187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728554781
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366728560890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728564937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728588078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728588921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728643828
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366728645062
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1366728647140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728651531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728678750
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1366728679328
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1366728679500
started,bundle,com.android.ide.eclipse.gldebugger,21.1.0.v201302060044-569685,"com.android.ide.eclipse.gldebugger",1366728679812
opened,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.DeviceView",1366728679875
opened,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1366728680390
activated,perspective,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.Perspective",1366728680625
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1366728689046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728700203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728701156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728703000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728704546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728737343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728753015
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1366728755515
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1366728755640
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1366728755687
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366728760093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728763156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728889375
started,bundle,com.android.ide.eclipse.ndk,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ndk",1366728890531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728896828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728897250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728904218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728905140
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366728905312
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366728905390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728907171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728913406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728915328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366728916375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728916953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728929468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366728941890
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366728944250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728949578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366728950921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728967125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728969078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728969953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366728972718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366729085875
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366729089156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366729090859
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366729094234
