what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725003796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366725007453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725022859
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366725024125
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366725030906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725034062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366725035187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366725053718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366725055984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366725067500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725073046
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366725073421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366725073562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725078171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725096437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366725098468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725100531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366725104390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366725106515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1366725108500
