what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366526059921
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1366526062515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526063406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526072812
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366526072890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526075875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526096109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366526100718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526101234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526107093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526109421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366526129390
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366526131187
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366526140171
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366526146312
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1366526146703
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1366526149562
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366526150734
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1366526154562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366526157078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366526158140
